Order ID,Order Item ID,Order Quantity,Product Department,Product Category,Product Name,Customer ID,Customer Market,Customer Region,Customer Country,Warehouse Country,Shipment Mode,Shipment Days - Scheduled,Gross Sales,Discount %,Profit,Warehouse Inventory,Inventory Cost Per Unit,Order Date,Shipment Date
1,4381,1,Fan Shop,Water Sports,Pelican Sunstream 100 Kayak,7399,LATAM,Central America,Nicaragua,USA,Same Day,3,200,0.09,100,132,2.03202,2021-01-01,2021-01-06
2,29,1,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,918,LATAM,South America,Brazil,Puerto Rico,Standard Class,4,60,0.2,147,254,0.49486,2021-01-01,2021-01-03
3,32,4,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,918,LATAM,South America,Brazil,Puerto Rico,Standard Class,4,400,0.06,245,18,2.25689,2021-01-01,2021-01-03
4,33,5,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,918,LATAM,South America,Brazil,Puerto Rico,Standard Class,4,250,0.09,125,442,2.34227,2021-01-01,2023-09-05
5,109801,5,Footwear,Electronics,Under Armour Women's Ignite Slide,6124,Europe,Eastern Europe,Belarus,USA,Standard Class,4,160,0.15,75,18,2.23827,2021-01-01,2021-01-05
6,9902,5,Outdoors,Electronics,Bridgestone e6 Straight Distance NFL San Dieg,702,LATAM,Caribbean,Dominican�Republic,USA,Same Day,3,160,0.12,60,4,1.05527,2021-01-01,2021-01-07
7,46,3,Apparel,Cleats,Perfect Fitness Perfect Rip Deck,2568,LATAM,South America,Brazil,USA,Standard Class,4,180,0.16,147,254,0.49486,2021-01-01,2022-03-19
8,43,1,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2568,LATAM,South America,Brazil,USA,Standard Class,4,50,0.25,125,164,2.03051,2021-01-01,2021-01-07
9,44,1,Fan Shop,Water Sports,Pelican Sunstream 100 Kayak,2568,LATAM,South America,Brazil,USA,Standard Class,4,200,0.18,100,132,2.03202,2021-01-01,2021-01-07
10,47,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,2568,LATAM,South America,Brazil,USA,Standard Class,4,400,0.17,200,141,0.9849,2021-01-01,2021-01-07
11,39,4,Footwear,Electronics,Under Armour Women's Ignite Slide,9149,LATAM,Central America,Nicaragua,USA,Standard Class,4,128,0.2,75,18,2.23827,2021-01-01,2021-01-03
12,66,2,Fitness,Baseball & Softball,adidas Kids' F5 Messi FG Soccer Cleat,2711,LATAM,Central America,Mexico,USA,First Class,1,70,0.2,58,1,0.75615,2021-01-01,2021-11-02
13,52485,2,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,5784,Pacific Asia,Oceania,Australia,USA,Standard Class,4,100,0.2,125,164,2.03051,2021-01-01,2021-01-03
14,74,1,Fan Shop,Fishing,Field & Stream Sportsman 16 Gun Fire Safe,9503,LATAM,Central America,Mexico,USA,Second Class,2,400,0.15,200,141,0.9849,2021-01-01,2021-01-07
15,168863,4,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,8065,Europe,Southern Europe,Spain,USA,Second Class,2,400,0.03,245,18,2.25689,2021-01-01,2022-01-09
16,470,1,Fan Shop,Water Sports,Pelican Sunstream 100 Kayak,6174,LATAM,Central America,Mexico,USA,Same Day,3,200,  -  ,100,132,2.03202,2021-01-01,2021-01-06
17,89,5,Footwear,Cardio Equipment,Nike Men's Free 5.0+ Running Shoe,6983,LATAM,Central America,Honduras,Puerto Rico,Standard Class,4,500,0.01,245,18,2.25689,2021-01-01,2021-01-03
18,93,4,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,5793,LATAM,Central America,Honduras,Puerto Rico,First Class,1,200,0.16,125,442,2.34227,2021-01-01,2021-01-03
19,90,1,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,5793,LATAM,Central America,Honduras,Puerto Rico,First Class,1,130,0.06,65,6,1.00147,2021-01-01,2021-01-03
20,92,1,Apparel,Men's Footwear,Nike Men's CJ Elite 2 TD Football Cleat,5793,LATAM,Central America,Honduras,Puerto Rico,First Class,1,130,0.05,65,6,1.00147,2021-01-01,2021-01-03
21,91,1,Fan Shop,Water Sports,Pelican Sunstream 100 Kayak,5793,LATAM,Central America,Honduras,Puerto Rico,First Class,1,200,0.09,100,132,2.03202,2021-01-01,2021-01-03
